card_id,user_id,card_brand,card_type,expires,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
5701,1946,Visa,Credit,2/20/2024,YES,2,12500,11/14/2024,2014,No
4510,1674,Mastercard,Debit,12/20/2024,YES,2,23432,9/1/2024,2008,No
2873,1674,Amex,Credit,5/22/2024,YES,2,8800,5/5/2024,2011,No
1461,482,Mastercard,Credit,2/20/2024,YES,2,12100,2/20/2024,2020,No
442,877,Mastercard,Debit,2/20/2024,YES,1,9708,1/20/2024,2020,No
3877,877,Amex,Credit,11/21/2024,YES,2,12000,7/9/2024,2011,No
2296,877,Mastercard,Debit,11/23/2024,YES,1,11973,3/12/2024,2012,No
5048,128,Mastercard,Debit,2/22/2024,YES,2,13601,10/6/2024,2014,No
1462,128,Mastercard,Credit,1/24/2024,YES,2,7800,2/20/2024,2020,No
4269,775,Visa,Debit,10/23/2024,YES,2,17816,8/8/2024,2016,No
5188,1536,Mastercard,Debit,3/21/2024,NO,2,17707,10/10/2024,2010,No
2874,1536,Amex,Credit,11/20/2024,YES,1,9500,5/5/2024,2009,No
3041,140,Mastercard,Debit,1/22/2024,YES,1,19110,5/10/2024,2011,No
5312,140,Mastercard,Debit,8/23/2024,YES,1,13428,10/16/2024,2016,No
4150,140,Mastercard,Debit,6/22/2024,YES,1,24608,8/5/2024,2009,No
152,140,Mastercard,Debit,9/22/2024,YES,1,13441,1/8/2024,2011,No
443,1884,Mastercard,Debit (Prepaid),2/20/2024,YES,2,74,1/20/2024,2020,No
3377,1874,Mastercard,Debit,10/12/2024,YES,1,17872,6/8/2024,2008,No
5789,1874,Mastercard,Credit,9/22/2024,YES,1,12900,12/3/2024,2010,No
2106,1874,Mastercard,Debit,5/24/2024,YES,2,25264,3/6/2024,2020,No
2078,1874,Mastercard,Debit,12/22/2024,YES,2,20634,3/5/2024,2007,No
5866,1310,Visa,Credit,4/7/2024,YES,2,12200,12/6/2024,2010,No
173,1310,Visa,Credit,2/10/2024,YES,2,5500,1/8/2024,2008,No
1771,1689,Visa,Credit,3/20/2024,NO,2,6600,2/20/2024,2020,No
6132,1689,Mastercard,Debit,11/20/2024,YES,1,25815,12/17/2024,2017,No
327,379,Amex,Credit,6/21/2024,YES,2,8400,1/14/2024,2014,No
2019,379,Mastercard,Debit,2/20/2024,YES,1,21628,3/1/2024,2008,No
3881,379,Mastercard,Debit,10/21/2024,YES,1,24232,7/9/2024,2009,No
1166,34,Mastercard,Debit,11/23/2024,YES,2,10775,2/9/2024,2010,No
3342,34,Mastercard,Debit (Prepaid),2/20/2024,YES,2,105,6/7/2024,2013,No
5622,822,Visa,Credit,1/21/2024,NO,2,7100,11/10/2024,2010,No
5424,822,Mastercard,Debit,7/24/2024,YES,1,29351,11/5/2024,2007,No
2558,822,Mastercard,Debit,3/20/2024,YES,2,15125,4/8/2024,2012,No
5385,822,Mastercard,Credit,11/21/2024,YES,2,8000,11/3/2024,2008,No
5596,822,Mastercard,Debit (Prepaid),5/11/2024,YES,1,83,11/10/2024,2010,No
3991,1499,Amex,Credit,1/24/2024,YES,2,23700,7/12/2024,2012,No
6126,1780,Visa,Credit,2/24/2024,YES,2,700,12/16/2024,2016,No
3756,1806,Mastercard,Debit,7/24/2024,YES,2,7488,7/6/2024,2016,No
971,811,Visa,Credit,1/2/2024,NO,1,24900,2/1/1999,2010,No
2079,811,Mastercard,Debit,6/21/2024,YES,2,30971,3/5/2024,2020,No
387,811,Amex,Credit,1/24/2024,YES,1,24400,1/20/2024,2020,No
444,811,Mastercard,Debit,2/20/2024,YES,2,53549,1/20/2024,2020,No
5277,811,Visa,Debit,9/18/2024,YES,1,53036,10/13/2024,2013,No
4358,811,Mastercard,Debit,12/24/2024,YES,1,35750,8/11/2024,2011,No
2318,811,Visa,Debit,7/21/2024,YES,1,33375,3/13/2024,2013,No
6019,1844,Visa,Debit (Prepaid),7/23/2024,YES,2,22,12/10/2024,2010,No
4421,1844,Discover,Credit,11/20/2024,YES,1,13100,8/14/2024,2014,No
3702,1844,Visa,Debit,10/24/2024,YES,1,16516,7/3/2024,2011,No
2854,1844,Mastercard,Credit,7/16/2024,YES,1,15700,5/4/2024,2011,No
4114,1844,Mastercard,Debit,5/24/2024,YES,1,21058,8/3/2024,2007,No
28,1852,Visa,Debit,10/23/2024,YES,2,36425,1/2/2024,2004,No
6127,1852,Visa,Debit (Prepaid),3/21/2024,YES,2,91,12/16/2024,2016,No
2477,1852,Mastercard,Credit,9/21/2024,YES,1,13400,4/5/2024,2014,No
2632,1852,Mastercard,Credit,4/21/2024,YES,2,21600,4/10/2024,2010,No
1463,1231,Mastercard,Debit,2/20/2024,NO,1,9090,2/20/2024,2020,No
5679,970,Visa,Debit,2/23/2024,NO,1,25942,11/12/2024,2012,No
1012,970,Mastercard,Credit,7/19/2024,YES,2,10700,2/3/2024,2013,No
1464,970,Mastercard,Credit,7/22/2024,YES,2,4900,2/20/2024,2020,No
1465,381,Mastercard,Credit,4/22/2024,NO,1,18100,2/20/2024,2020,No
388,1134,Amex,Credit,3/24/2024,YES,2,7200,1/20/2024,2020,No
3708,1296,Mastercard,Debit,2/20/2024,YES,2,22660,7/4/2024,2007,No
3087,1296,Discover,Credit,12/22/2024,YES,1,19800,5/11/2024,2011,No
67,1296,Mastercard,Credit,11/24/2024,YES,2,15500,1/5/2024,2014,No
80,1296,Visa,Debit (Prepaid),6/23/2024,YES,1,13,1/5/2024,2008,No
3665,1296,Mastercard,Debit,6/21/2024,YES,2,4317,7/1/2024,2011,No
2014,1880,Mastercard,Debit,12/21/2024,NO,1,14719,3/1/2000,2008,No
4906,1880,Mastercard,Debit,5/21/2024,YES,1,9532,9/17/2024,2017,No
3757,1880,Mastercard,Credit,3/20/2024,YES,1,10900,7/6/2024,2014,No
5365,322,Mastercard,Credit,9/24/2024,YES,2,6200,11/1/2024,2012,No
5425,322,Mastercard,Debit,12/12/2024,YES,2,2903,11/5/2024,2011,No
5758,322,Mastercard,Debit,10/20/2024,YES,2,4355,12/1/1999,2010,No
5482,461,Mastercard,Debit,4/21/2024,YES,1,28963,11/7/2024,2012,No
3172,461,Mastercard,Debit,12/22/2024,YES,2,20913,5/16/2024,2016,No
1209,461,Mastercard,Debit,7/24/2024,YES,1,23344,2/10/2024,2010,No
5313,461,Mastercard,Debit,1/20/2024,YES,2,33642,10/16/2024,2016,No
4762,1165,Mastercard,Debit,1/22/2024,YES,1,14695,9/10/2024,2011,No
126,1448,Mastercard,Credit,9/23/2024,YES,1,13200,1/7/2024,2015,No
4685,1448,Visa,Debit,1/20/2024,YES,1,29950,9/8/2024,2013,No
5907,1448,Visa,Credit,7/24/2024,YES,2,4600,12/7/2024,2011,No
2428,1288,Mastercard,Debit,12/22/2024,YES,1,10051,4/2/2024,2011,No
1013,1288,Mastercard,Debit,12/15/2024,YES,2,9796,2/3/2024,2013,No
5145,1178,Mastercard,Debit,10/21/2024,YES,1,17826,10/9/2024,2009,No
5854,1178,Mastercard,Debit,11/24/2024,YES,1,19086,12/6/2024,2009,No
5296,1178,Visa,Debit,6/24/2024,YES,2,17345,10/14/2024,2014,No
1327,1178,Visa,Debit,9/20/2024,YES,2,17976,2/13/2024,2013,No
383,1178,Visa,Debit,1/22/2024,YES,2,16447,1/19/2024,2019,No
5129,1391,Visa,Debit,10/24/2024,YES,2,29573,10/8/2024,2009,No
5995,1391,Mastercard,Debit (Prepaid),12/21/2024,YES,2,98,12/10/2024,2010,No
4107,1391,Mastercard,Debit,8/19/2024,YES,2,2559,8/2/2024,2012,No
36,1391,Mastercard,Debit,10/12/2024,YES,2,6552,1/3/2024,2010,No
445,838,Mastercard,Credit,1/21/2024,YES,2,13800,1/20/2024,2020,No
1466,54,Mastercard,Debit,8/20/2024,YES,1,16375,2/20/2024,2020,No
749,54,Visa,Debit,5/23/2024,YES,1,14213,1/20/2024,2020,No
1772,54,Visa,Debit (Prepaid),9/20/2024,YES,1,73,2/20/2024,2020,No
3801,1452,Mastercard,Debit,11/22/2024,YES,2,53466,7/7/2024,2013,No
282,1602,Visa,Credit,9/20/2024,YES,1,6600,1/11/2024,2013,No
6105,1602,Mastercard,Credit,6/22/2024,NO,2,7200,12/15/2024,2015,No
446,1938,Mastercard,Debit,11/20/2024,YES,1,2868,1/20/2024,2020,No
422,1938,Discover,Credit,5/24/2024,YES,1,3400,1/20/2024,2020,No
5231,1492,Mastercard,Debit,1/22/2024,YES,1,12915,10/11/2024,2013,No
2615,1492,Visa,Debit (Prepaid),12/23/2024,YES,2,84,4/9/2024,2017,No
2776,1492,Discover,Credit,7/21/2024,YES,2,17600,4/18/2024,2018,No
5452,1492,Mastercard,Debit,12/12/2024,YES,1,31542,11/6/2024,2009,No
3563,1492,Mastercard,Debit,2/22/2024,YES,2,23049,6/13/2024,2013,No
6134,1492,Visa,Debit,5/20/2024,YES,1,29734,12/17/2024,2017,No
4818,1492,Visa,Credit,1/20/2024,YES,2,27000,9/11/2024,2016,No
2171,1492,Mastercard,Debit (Prepaid),11/22/2024,YES,1,18,3/8/2024,2010,No
6106,688,Mastercard,Debit,4/23/2024,YES,1,17848,12/15/2024,2015,No
3042,688,Mastercard,Debit,11/22/2024,NO,1,25563,5/10/2024,2010,No
5209,688,Visa,Credit,4/20/2024,YES,2,12000,10/10/2024,2010,No
1296,688,Amex,Credit,11/18/2024,NO,2,6600,2/12/2024,2012,No
389,749,Amex,Credit,9/23/2024,NO,1,5600,1/20/2024,2020,No
1773,749,Visa,Debit,11/22/2024,YES,3,11873,2/20/2024,2020,No
1467,749,Mastercard,Credit,2/20/2024,YES,1,7200,2/20/2024,2020,No
1395,643,Amex,Credit,8/24/2024,YES,1,10000,2/20/2024,2020,No
5597,643,Mastercard,Credit,4/23/2024,YES,2,500,11/10/2024,2010,No
1468,1219,Mastercard,Debit,2/20/2024,YES,1,22697,2/20/2024,2020,No
2309,1219,Mastercard,Credit,8/23/2024,YES,1,18000,3/13/2024,2013,No
3466,1219,Mastercard,Debit,10/24/2024,YES,1,32903,6/10/2024,2010,No
2804,1198,Visa,Debit,8/21/2024,YES,2,12764,5/1/1999,2010,No
1388,1198,Mastercard,Credit,10/22/2024,YES,1,6300,2/19/2024,2019,No
4660,898,Mastercard,Debit,2/22/2024,YES,2,7541,9/8/2024,2013,No
3356,898,Visa,Debit,3/22/2024,YES,2,1266,6/7/2024,2012,No
4870,898,Mastercard,Credit,4/20/2024,NO,1,9500,9/14/2024,2014,No
3467,882,Mastercard,Debit,4/20/2024,YES,2,1837,6/10/2024,2010,No
1079,882,Mastercard,Debit,8/23/2024,YES,2,17453,2/6/2024,2008,No
2977,348,Visa,Debit,10/13/2024,NO,1,28283,5/8/2024,2012,No
3073,348,Visa,Credit,4/20/2024,YES,1,13500,5/10/2024,2012,No
3554,348,Visa,Credit,7/14/2024,YES,2,13300,6/12/2024,2012,No
2597,633,Mastercard,Debit,9/21/2024,YES,2,17941,4/9/2024,2009,No
3489,1493,Visa,Credit,4/18/2024,YES,1,14400,6/10/2024,2012,No
4003,1493,Visa,Credit,4/20/2024,YES,1,4400,7/12/2024,2012,No
1469,1493,Mastercard,Credit,3/20/2024,YES,1,13000,2/20/2024,2020,No
1774,1493,Visa,Debit,4/23/2024,YES,2,22701,2/20/2024,2020,No
1470,1161,Mastercard,Credit,8/24/2024,NO,1,16100,2/20/2024,2020,No
1471,1161,Mastercard,Debit,9/23/2024,YES,2,7629,2/20/2024,2020,No
2691,217,Mastercard,Debit,3/22/2024,NO,1,16538,4/12/2024,2012,No
174,217,Visa,Debit,12/20/2024,YES,2,22746,1/8/2024,2010,No
1364,217,Mastercard,Debit,7/16/2024,YES,1,9737,2/16/2024,2016,No
1266,217,Mastercard,Credit,7/19/2024,YES,1,6500,2/11/2024,2014,No
1267,217,Mastercard,Debit,6/20/2024,YES,2,2650,2/11/2024,2013,No
207,217,Visa,Credit,5/12/2024,YES,2,8200,1/9/2024,2011,No
5448,217,Amex,Credit,1/22/2024,YES,2,6200,11/6/2024,2013,No
5449,1877,Amex,Credit,1/21/2024,YES,2,22600,11/6/2024,2014,No
2107,1877,Mastercard,Debit,5/24/2024,YES,2,6940,3/6/2024,2009,No
2398,1877,Mastercard,Debit,3/24/2024,YES,2,23408,4/1/1996,2008,No
5414,1877,Visa,Credit,9/22/2024,YES,2,9700,11/4/2024,2007,No
3758,668,Mastercard,Debit,6/24/2024,NO,2,10538,7/6/2024,2006,No
4097,668,Mastercard,Debit,3/23/2024,YES,2,6853,8/1/2024,2006,No
5778,668,Mastercard,Debit,10/20/2024,YES,2,607,12/2/2024,2010,No
4318,668,Mastercard,Credit,8/21/2024,YES,1,0,8/10/2024,2010,No
5015,668,Visa,Debit,6/21/2024,YES,2,8253,10/4/2024,2011,No
750,533,Visa,Debit,9/20/2024,YES,2,8492,1/20/2024,2020,No
242,203,Visa,Credit,7/22/2024,YES,1,9100,1/10/2024,2010,No
3966,203,Mastercard,Credit,4/22/2024,NO,2,2600,7/11/2024,2011,No
5375,203,Mastercard,Credit,5/24/2024,NO,1,7300,11/2/2024,2010,No
5166,1738,Visa,Credit,8/20/2024,YES,1,15000,10/9/2024,2009,No
1472,1738,Mastercard,Credit,4/24/2024,YES,2,18700,2/20/2024,2020,No
751,1738,Visa,Debit,5/21/2024,YES,1,21458,1/20/2024,2020,No
5623,1738,Visa,Credit,4/20/2024,NO,1,15700,11/10/2024,2014,No
6099,713,Mastercard,Debit,1/20/2024,YES,2,20765,12/14/2024,2014,No
1473,713,Mastercard,Debit,6/22/2024,NO,2,18101,2/20/2024,2020,No
1775,713,Visa,Credit,11/24/2024,YES,1,8400,2/20/2024,2020,No
447,713,Mastercard,Debit,3/20/2024,YES,1,1737,1/20/2024,2020,No
1474,1631,Mastercard,Credit,2/20/2024,YES,2,20900,2/20/2024,2020,No
1776,1631,Visa,Credit,11/21/2024,YES,1,23700,2/20/2024,2020,No
448,1631,Mastercard,Credit,11/21/2024,YES,1,17500,1/20/2024,2020,No
5978,1487,Visa,Debit,6/24/2024,YES,1,26083,12/9/2024,2009,No
2978,1487,Visa,Debit,10/22/2024,YES,1,31589,5/8/2024,2008,No
4946,1487,Visa,Credit,6/21/2024,YES,2,24200,10/1/2000,2013,No
1475,1265,Mastercard,Debit,2/20/2024,YES,2,18321,2/20/2024,2020,No
5376,370,Mastercard,Debit,10/22/2024,YES,2,7551,11/2/2024,2010,No
4127,370,Mastercard,Debit,6/14/2024,YES,1,15377,8/4/2024,2011,No
5093,370,Visa,Debit,3/23/2024,YES,1,12990,10/7/2024,2016,No
3490,370,Visa,Debit,2/23/2024,YES,1,8509,6/10/2024,2010,No
5702,1014,Visa,Debit,11/14/2024,YES,1,96907,11/14/2024,2014,No
2200,1014,Visa,Credit,7/15/2024,YES,1,43900,3/8/2024,2013,No
5436,1014,Visa,Debit (Prepaid),10/20/2024,YES,2,76,11/5/2024,2007,No
449,290,Mastercard,Debit,1/20/2024,YES,2,50915,1/20/2024,2020,No
1777,290,Visa,Debit,12/21/2024,YES,2,31767,2/20/2024,2020,No
3862,985,Visa,Credit,4/24/2024,YES,2,13200,7/8/2024,2010,No
1268,985,Mastercard,Credit,10/22/2024,YES,2,16000,2/11/2024,2012,No
752,985,Visa,Debit,7/24/2024,YES,2,18132,1/20/2024,2020,No
2704,985,Visa,Credit,2/19/2024,YES,1,300,4/12/2024,2012,No
2808,135,Mastercard,Debit,11/22/2024,YES,2,2236,5/1/2000,2015,No
4791,135,Visa,Debit,8/19/2024,YES,2,21591,9/10/2024,2010,No
1476,307,Mastercard,Debit,4/20/2024,YES,2,11521,2/20/2024,2020,No
753,307,Visa,Credit,6/20/2024,NO,1,8600,1/20/2024,2020,No
4112,1783,Amex,Credit,3/20/2024,YES,1,9800,8/3/2024,2010,No
1154,1783,Visa,Credit,3/12/2024,YES,2,11300,2/8/2024,2009,No
2598,1783,Mastercard,Credit,10/19/2024,YES,1,8400,4/9/2024,2011,No
10,1783,Mastercard,Debit,12/23/2024,YES,1,16597,1/1/1999,2009,No
4655,1783,Amex,Credit,9/20/2024,YES,2,9400,9/8/2024,2008,No
5908,1321,Visa,Debit,12/8/2024,YES,1,18702,12/7/2024,2007,No
3357,1511,Visa,Debit,6/22/2024,YES,1,24806,6/7/2024,2007,No
5502,1511,Visa,Debit,5/23/2024,YES,1,19856,11/7/2024,2011,No
1238,900,Visa,Debit (Prepaid),2/21/2024,YES,2,68,2/10/2024,2010,No
3412,900,Amex,Credit,12/22/2024,YES,2,4900,6/9/2024,2009,No
1477,953,Mastercard,Debit,2/22/2024,YES,1,13390,2/20/2024,2020,No
1396,953,Amex,Credit,11/24/2024,YES,3,8400,2/20/2024,2020,No
1297,233,Amex,Credit,3/24/2024,YES,2,13700,2/12/2024,2012,No
3605,406,Discover,Credit,11/24/2024,YES,2,4200,6/16/2024,2016,No
5167,1069,Visa,Debit,8/20/2024,YES,2,2292,10/9/2024,2015,No
3922,1069,Amex,Credit,3/21/2024,YES,1,8800,7/10/2024,2010,No
5453,180,Mastercard,Credit,3/23/2024,NO,2,7600,11/6/2024,2009,No
2888,180,Visa,Credit,11/21/2024,YES,2,6200,5/5/2024,2018,No
3208,996,Mastercard,Credit,7/23/2024,YES,1,12900,6/1/1999,2011,No
4661,996,Mastercard,Debit,6/22/2024,YES,2,18820,9/8/2024,2015,No
3277,996,Visa,Debit,7/5/2024,YES,2,16167,6/4/2024,2009,No
1107,996,Mastercard,Credit,6/23/2024,YES,2,4200,2/7/2024,2011,No
3310,996,Mastercard,Debit,8/24/2024,YES,2,18861,6/6/2024,2011,No
1279,996,Visa,Debit,2/20/2024,NO,1,27231,2/11/2024,2011,No
1778,1866,Visa,Debit,12/24/2024,YES,1,24390,2/20/2024,2020,No
1478,1866,Mastercard,Debit,2/23/2024,YES,1,3106,2/20/2024,2020,No
2108,1981,Mastercard,Debit,7/20/2024,YES,2,13595,3/6/2024,2010,No
5143,1981,Discover,Credit,11/9/2024,NO,2,12300,10/9/2024,2009,No
4151,1981,Mastercard,Credit,2/19/2024,YES,2,12300,8/5/2024,2009,No
3606,1981,Mastercard,Debit,4/21/2024,YES,1,20743,6/16/2024,2016,No
3248,1981,Mastercard,Debit,8/21/2024,YES,2,17706,6/3/2024,2010,No
2996,1981,Mastercard,Debit,8/22/2024,YES,2,20962,5/9/2024,2009,No
4,1981,Mastercard,Debit,3/24/2024,YES,2,19439,1/1/1997,2007,No
3257,870,Visa,Debit,3/22/2024,NO,1,30160,6/3/2024,2017,No
3626,870,Amex,Credit,6/22/2024,YES,2,0,6/18/2024,2018,No
1039,870,Visa,Debit,11/12/2024,NO,1,28937,2/4/2024,2008,No
2080,16,Mastercard,Debit (Prepaid),5/20/2024,NO,2,22,3/5/2024,2011,No
49,16,Mastercard,Debit,8/15/2024,YES,2,1575,1/4/2024,2005,No
4964,16,Mastercard,Debit,12/20/2024,YES,2,7562,10/2/2024,2011,No
4093,16,Mastercard,Debit,5/24/2024,YES,2,17211,8/1/1999,2013,No
2979,16,Visa,Credit,6/10/2024,NO,2,9500,5/8/2024,2010,No
3513,46,Mastercard,Debit,11/22/2024,YES,2,24191,6/11/2024,2011,No
3732,46,Mastercard,Debit (Prepaid),3/23/2024,YES,2,68,7/5/2024,2006,No
2925,46,Mastercard,Debit,2/20/2024,YES,2,8037,5/7/2024,2010,No
1167,46,Mastercard,Debit (Prepaid),2/18/2024,YES,2,97,2/9/2024,2015,No
450,800,Mastercard,Debit,5/21/2024,YES,1,15555,1/20/2024,2020,No
2759,800,Mastercard,Debit,5/16/2024,YES,1,18242,4/16/2024,2016,No
1779,800,Visa,Debit (Prepaid),12/21/2024,YES,2,62,2/20/2024,2020,No
754,800,Visa,Debit,12/22/2024,NO,1,16715,1/20/2024,2020,No
1479,1968,Mastercard,Debit (Prepaid),2/20/2024,YES,1,46,2/20/2024,2020,No
1298,697,Mastercard,Debit,4/21/2024,YES,2,20195,2/12/2024,2012,No
3640,697,Mastercard,Debit,7/19/2024,YES,2,39818,6/19/2024,2019,No
3074,697,Visa,Debit,9/18/2024,YES,2,33736,5/10/2024,2010,No
4239,1269,Mastercard,Debit,11/11/2024,YES,2,17850,8/8/2024,2008,No
4147,1269,Amex,Credit,2/21/2024,YES,2,11300,8/5/2024,2008,No
3075,1782,Visa,Debit,9/15/2024,NO,2,1981,5/10/2024,2014,No
4289,1782,Mastercard,Debit,7/24/2024,YES,1,15695,8/9/2024,2010,No
2172,1782,Mastercard,Debit,6/14/2024,YES,2,23475,3/8/2024,2011,No
5366,1977,Mastercard,Credit,6/17/2024,YES,1,12900,11/1/2024,2011,No
2673,1977,Mastercard,Debit (Prepaid),2/21/2024,YES,1,91,4/11/2024,2011,No
965,1977,Mastercard,Debit,10/22/2024,YES,2,15341,2/1/1999,2014,No
4763,1734,Mastercard,Debit,6/15/2024,YES,2,42116,9/10/2024,2011,No
451,1734,Mastercard,Debit,1/20/2024,NO,2,39312,1/20/2024,2020,No
3300,1913,Visa,Debit,4/8/2024,NO,2,21370,6/5/2024,2010,No
5226,1913,Amex,Credit,12/22/2024,YES,2,16700,10/11/2024,2011,No
5477,1913,Amex,Credit,10/24/2024,YES,1,17800,11/7/2024,2011,No
5877,1913,Mastercard,Credit,11/20/2024,YES,2,16200,12/7/2024,2011,No
3084,1913,Amex,Credit,12/20/2024,YES,1,17700,5/11/2024,2013,No
13,858,Mastercard,Credit,3/21/2024,YES,1,14600,1/1/2000,2012,No
4735,858,Visa,Credit,7/24/2024,YES,2,10700,9/9/2024,2011,No
2633,858,Mastercard,Debit (Prepaid),7/23/2024,YES,1,89,4/10/2024,2010,No
4173,606,Mastercard,Debit,9/6/2024,YES,3,11398,8/6/2024,2013,No
